Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
1	Spectrogram 1	1	0	3	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	0	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	3	60
2	Spectrogram 1	1	3	6	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	3	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9996	3	6	60
3	Spectrogram 1	1	6	9	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	6	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.996	3	9	60
4	Spectrogram 1	1	9	12	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	9	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9908	3	12	60
5	Spectrogram 1	1	12	15	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	12	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	15	60
6	Spectrogram 1	1	15	18	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	15	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9991	3	18	60
7	Spectrogram 1	1	18	21	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	18	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9958	3	21	60
8	Spectrogram 1	1	21	24	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	21	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9994	3	24	60
9	Spectrogram 1	1	24	27	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	24	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9997	3	27	60
10	Spectrogram 1	1	27	30	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	27	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9987	3	30	60
11	Spectrogram 1	1	30	33	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	30	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9997	3	33	60
12	Spectrogram 1	1	33	36	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	33	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	36	60
13	Spectrogram 1	1	36	39	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	36	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9996	3	39	60
14	Spectrogram 1	1	39	42	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	39	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9968	3	42	60
15	Spectrogram 1	1	42	45	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230101_000000.wav	42	TURBERABLEST_20230101_000000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9916	3	45	60
