filename,sample_index,start_time,end_time,Batrachyla antartandica_confidence,Batrachyla antartandica_annotation
TURBERABLEST_20230104_210000,0,0,3,0.9997,1
TURBERABLEST_20230104_210000,1,3,6,0.9998,1
TURBERABLEST_20230104_210000,2,6,9,0.6592,0
TURBERABLEST_20230104_210000,3,9,12,0.0,1
TURBERABLEST_20230104_210000,4,12,15,0.9644,1
TURBERABLEST_20230104_210000,5,15,18,0.0,1
TURBERABLEST_20230104_210000,6,18,21,0.0,0
TURBERABLEST_20230104_210000,7,21,24,0.0,0
TURBERABLEST_20230104_210000,8,24,27,0.9985,1
TURBERABLEST_20230104_210000,9,27,30,0.9998,1
TURBERABLEST_20230104_210000,10,30,33,0.0,1
TURBERABLEST_20230104_210000,11,33,36,0.0,0
TURBERABLEST_20230104_210000,12,36,39,0.9994,1
TURBERABLEST_20230104_210000,13,39,42,0.9917,1
TURBERABLEST_20230104_210000,14,42,45,0.0,0
TURBERABLEST_20230104_210000,15,45,48,0.0,0
TURBERABLEST_20230104_210000,16,48,51,0.0,0
TURBERABLEST_20230104_210000,17,51,54,0.0,1
TURBERABLEST_20230104_210000,18,54,57,0.994,1
TURBERABLEST_20230104_210000,19,57,60,0.9979,1
TURBERABLEST_20230101_050000,0,0,3,0.9853,1
TURBERABLEST_20230101_050000,1,3,6,0.9758,1
TURBERABLEST_20230101_050000,2,6,9,0.9963,1
TURBERABLEST_20230101_050000,3,9,12,0.9984,1
TURBERABLEST_20230101_050000,4,12,15,0.9969,1
TURBERABLEST_20230101_050000,5,15,18,0.9986,1
TURBERABLEST_20230101_050000,6,18,21,0.9754,1
TURBERABLEST_20230101_050000,7,21,24,0.9933,1
TURBERABLEST_20230101_050000,8,24,27,0.9911,1
TURBERABLEST_20230101_050000,9,27,30,0.9956,1
TURBERABLEST_20230101_050000,10,30,33,0.9858,1
TURBERABLEST_20230101_050000,11,33,36,0.9925,1
TURBERABLEST_20230101_050000,12,36,39,0.9971,1
TURBERABLEST_20230101_050000,13,39,42,0.9949,1
TURBERABLEST_20230101_050000,14,42,45,0.9967,1
TURBERABLEST_20230101_050000,15,45,48,0.9861,1
TURBERABLEST_20230101_050000,16,48,51,0.9997,1
TURBERABLEST_20230101_050000,17,51,54,0.9969,1
TURBERABLEST_20230101_050000,18,54,57,0.9937,1
TURBERABLEST_20230101_050000,19,57,60,0.9894,1
TURBERABLEST_20230104_200000,0,0,3,0.3913,1
TURBERABLEST_20230104_200000,1,3,6,0.6711,1
TURBERABLEST_20230104_200000,2,6,9,0.3388,1
TURBERABLEST_20230104_200000,3,9,12,0.8486,1
TURBERABLEST_20230104_200000,4,12,15,0.0,0
TURBERABLEST_20230104_200000,5,15,18,0.0,0
TURBERABLEST_20230104_200000,6,18,21,0.0,0
TURBERABLEST_20230104_200000,7,21,24,0.0,0
TURBERABLEST_20230104_200000,8,24,27,0.995,1
TURBERABLEST_20230104_200000,9,27,30,0.996,1
TURBERABLEST_20230104_200000,10,30,33,0.0,0
TURBERABLEST_20230104_200000,11,33,36,0.0,0
TURBERABLEST_20230104_200000,12,36,39,0.0,0
TURBERABLEST_20230104_200000,13,39,42,0.0,0
TURBERABLEST_20230104_200000,14,42,45,0.0,0
TURBERABLEST_20230104_200000,15,45,48,0.8986,1
TURBERABLEST_20230104_200000,16,48,51,0.9997,1
TURBERABLEST_20230104_200000,17,51,54,0.9985,1
TURBERABLEST_20230104_200000,18,54,57,0.0,1
TURBERABLEST_20230104_200000,19,57,60,0.0,1
TURBERABLEST_20230102_060000,0,0,3,0.9995,1
TURBERABLEST_20230102_060000,1,3,6,0.9998,1
TURBERABLEST_20230102_060000,2,6,9,0.9989,1
TURBERABLEST_20230102_060000,3,9,12,0.9983,1
TURBERABLEST_20230102_060000,4,12,15,0.9998,1
TURBERABLEST_20230102_060000,5,15,18,0.999,1
TURBERABLEST_20230102_060000,6,18,21,0.9983,1
TURBERABLEST_20230102_060000,7,21,24,0.3644,1
TURBERABLEST_20230102_060000,8,24,27,0.9975,1
TURBERABLEST_20230102_060000,9,27,30,0.9975,1
TURBERABLEST_20230102_060000,10,30,33,0.9996,1
TURBERABLEST_20230102_060000,11,33,36,0.9944,1
TURBERABLEST_20230102_060000,12,36,39,0.9962,1
TURBERABLEST_20230102_060000,13,39,42,0.9976,1
TURBERABLEST_20230102_060000,14,42,45,0.9978,1
TURBERABLEST_20230102_060000,15,45,48,0.9882,1
TURBERABLEST_20230102_060000,16,48,51,0.9982,1
TURBERABLEST_20230102_060000,17,51,54,0.9992,1
TURBERABLEST_20230102_060000,18,54,57,0.9995,1
TURBERABLEST_20230102_060000,19,57,60,0.4957,1
TURBERABLEST_20230101_000000,0,0,3,0.9999,1
TURBERABLEST_20230101_000000,1,3,6,0.9996,1
TURBERABLEST_20230101_000000,2,6,9,0.996,1
TURBERABLEST_20230101_000000,3,9,12,0.9908,1
TURBERABLEST_20230101_000000,4,12,15,0.9999,1
TURBERABLEST_20230101_000000,5,15,18,0.9991,1
TURBERABLEST_20230101_000000,6,18,21,0.9958,1
TURBERABLEST_20230101_000000,7,21,24,0.9994,1
TURBERABLEST_20230101_000000,8,24,27,0.9997,1
TURBERABLEST_20230101_000000,9,27,30,0.9987,1
TURBERABLEST_20230101_000000,10,30,33,0.9997,1
TURBERABLEST_20230101_000000,11,33,36,0.9998,1
TURBERABLEST_20230101_000000,12,36,39,0.9996,1
TURBERABLEST_20230101_000000,13,39,42,0.9968,1
TURBERABLEST_20230101_000000,14,42,45,0.9916,1
TURBERABLEST_20230101_000000,15,45,48,0.9986,1
TURBERABLEST_20230101_000000,16,48,51,0.9997,1
TURBERABLEST_20230101_000000,17,51,54,0.9971,1
TURBERABLEST_20230101_000000,18,54,57,0.999,1
TURBERABLEST_20230101_000000,19,57,60,0.9989,1
TURBERABLEST_20230101_030000,0,0,3,0.9954,1
TURBERABLEST_20230101_030000,1,3,6,0.9992,1
TURBERABLEST_20230101_030000,2,6,9,0.9999,1
TURBERABLEST_20230101_030000,3,9,12,0.9967,1
TURBERABLEST_20230101_030000,4,12,15,0.9997,1
TURBERABLEST_20230101_030000,5,15,18,0.9999,1
TURBERABLEST_20230101_030000,6,18,21,0.9998,1
TURBERABLEST_20230101_030000,7,21,24,0.9996,1
TURBERABLEST_20230101_030000,8,24,27,0.9998,1
TURBERABLEST_20230101_030000,9,27,30,0.9999,1
TURBERABLEST_20230101_030000,10,30,33,0.9998,1
TURBERABLEST_20230101_030000,11,33,36,0.9999,1
TURBERABLEST_20230101_030000,12,36,39,0.9999,1
TURBERABLEST_20230101_030000,13,39,42,0.9999,1
TURBERABLEST_20230101_030000,14,42,45,0.9998,1
TURBERABLEST_20230101_030000,15,45,48,0.9962,1
TURBERABLEST_20230101_030000,16,48,51,0.9819,1
TURBERABLEST_20230101_030000,17,51,54,0.987,1
TURBERABLEST_20230101_030000,18,54,57,0.9986,1
TURBERABLEST_20230101_030000,19,57,60,0.9998,1
TURBERABLEST_20230102_140000,0,0,3,0.0,0
TURBERABLEST_20230102_140000,1,3,6,0.0,0
TURBERABLEST_20230102_140000,2,6,9,0.0,0
TURBERABLEST_20230102_140000,3,9,12,0.0,0
TURBERABLEST_20230102_140000,4,12,15,0.0,0
TURBERABLEST_20230102_140000,5,15,18,0.0,0
TURBERABLEST_20230102_140000,6,18,21,0.0,0
TURBERABLEST_20230102_140000,7,21,24,0.0,0
TURBERABLEST_20230102_140000,8,24,27,0.0,0
TURBERABLEST_20230102_140000,9,27,30,0.9996,1
TURBERABLEST_20230102_140000,10,30,33,0.9995,1
TURBERABLEST_20230102_140000,11,33,36,0.9968,1
TURBERABLEST_20230102_140000,12,36,39,0.9999,1
TURBERABLEST_20230102_140000,13,39,42,0.9989,1
TURBERABLEST_20230102_140000,14,42,45,0.9999,1
TURBERABLEST_20230102_140000,15,45,48,0.9999,1
TURBERABLEST_20230102_140000,16,48,51,0.9999,1
TURBERABLEST_20230102_140000,17,51,54,0.0,1
TURBERABLEST_20230102_140000,18,54,57,0.0,0
TURBERABLEST_20230102_140000,19,57,60,0.3782,0
