Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Delta Time (s)	Common Name	Duration	Corrected_End_Time
1	Spectrogram 1	1	40.2726121	49.92861772	252.3	3784.4	TURBERABLEST_20230101_000000.wav	40.2726	9.656	Batrachyla antartandica	60	49.9286
2	Spectrogram 1	1	0.117756166	9.989648089	201.8	3355.5	TURBERABLEST_20230101_000000.wav	0.1178	9.8719	Batrachyla antartandica	60	9.9897
3	Spectrogram 1	1	10.10740426	19.97929618	252.3	3330.3	TURBERABLEST_20230101_000000.wav	10.1074	9.8719	Batrachyla antartandica	60	19.9793
4	Spectrogram 1	1	50.06599992	59.8397617	201.8	3860.1	TURBERABLEST_20230101_000000.wav	50.066	9.7738	Batrachyla antartandica	60	59.8398
5	Spectrogram 1	1	30.02782368	39.91934163	302.8	3557.3	TURBERABLEST_20230101_000000.wav	30.0278	9.8915	Batrachyla antartandica	60	39.9193
6	Spectrogram 1	1	20.17555778	29.85118943	328	3532.1	TURBERABLEST_20230101_000000.wav	20.1756	9.6756	Batrachyla antartandica	60	29.8512
7	Spectrogram 1	1	70.24155924	79.91719137	756.9	3506.9	TURBERABLEST_20230101_030000.wav	10.2644	9.6756	Batrachyla antartandica	60	19.94
8	Spectrogram 1	1	80.01532151	90.04422165	227.1	3582.6	TURBERABLEST_20230101_030000.wav	20.0382	10.0289	Batrachyla antartandica	60	30.0671
9	Spectrogram 1	1	100.132004	109.8861398	782.1	3633	TURBERABLEST_20230101_030000.wav	40.1549	9.7541	Batrachyla antartandica	60	49.909
10	Spectrogram 1	1	90.18160515	99.99461899	756.9	3683.5	TURBERABLEST_20230101_030000.wav	30.2045	9.813	Batrachyla antartandica	60	40.0175
11	Spectrogram 1	1	60.4285454	70.10417704	681.2	3784.4	TURBERABLEST_20230101_030000.wav	0.4514	9.6756	Batrachyla antartandica	60	10.127
12	Spectrogram 1	1	109.9842715	119.8757895	504.6	3733.9	TURBERABLEST_20230101_030000.wav	50.0071	9.8915	Batrachyla antartandica	60	59.8986
13	Spectrogram 1	1	149.9428678	160.069898	252.3	3557.3	TURBERABLEST_20230101_050000.wav	29.9886	10.127	Batrachyla antartandica	60	40.1156
14	Spectrogram 1	1	140.1298535	149.8251112	176.6	3532.1	TURBERABLEST_20230101_050000.wav	20.1756	9.6953	Batrachyla antartandica	60	29.8709
15	Spectrogram 1	1	120.0131741	129.924318	252.3	3658.2	TURBERABLEST_20230101_050000.wav	0.0589	9.9111	Batrachyla antartandica	60	9.97
16	Spectrogram 1	1	160.2072811	169.9614168	151.4	3532.1	TURBERABLEST_20230101_050000.wav	40.253	9.7541	Batrachyla antartandica	60	50.0071
17	Spectrogram 1	1	130.0813263	140.0120963	302.8	3582.6	TURBERABLEST_20230101_050000.wav	10.127	9.9308	Batrachyla antartandica	60	20.0578
18	Spectrogram 1	1	170.059547	179.5977964	328	3607.8	TURBERABLEST_20230101_050000.wav	50.1053	9.5382	Batrachyla antartandica	60	59.6435
19	Spectrogram 1	1	180.0001328	189.8916507	487.2	3745.7	TURBERABLEST_20230102_060000.wav	0.0687	9.8915	Batrachyla antartandica	60	9.9602
20	Spectrogram 1	1	189.9897809	201.5495145	304.5	3745.7	TURBERABLEST_20230102_060000.wav	10.0583	11.5597	Batrachyla antartandica	60	21.618
21	Spectrogram 1	1	204.4149145	214.4241886	365.4	3806.6	TURBERABLEST_20230102_060000.wav	24.4835	10.0093	Batrachyla antartandica	60	34.4928
22	Spectrogram 1	1	214.9540945	224.0409453	182.7	4080.6	TURBERABLEST_20230102_060000.wav	35.0227	9.0869	Batrachyla antartandica	60	44.1096
23	Spectrogram 1	1	224.1194494	233.9913414	243.6	4050.2	TURBERABLEST_20230102_060000.wav	44.188	9.8719	Batrachyla antartandica	60	54.0599
