Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
1	Waveform 1	1	3	6	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	3	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9921	3	6	60
1	Spectrogram 1	1	3	6	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	3	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9921	3	6	60
2	Waveform 1	1	6	9	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	6	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9981	3	9	60
2	Spectrogram 1	1	6	9	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	6	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9981	3	9	60
3	Waveform 1	1	9	12	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	9	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9999	3	12	60
3	Spectrogram 1	1	9	12	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	9	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9999	3	12	60
4	Waveform 1	1	12	15	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	12	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9998	3	15	60
4	Spectrogram 1	1	12	15	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	12	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9998	3	15	60
5	Waveform 1	1	15	18	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	15	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	1	3	18	60
5	Spectrogram 1	1	15	18	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	15	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	1	3	18	60
6	Waveform 1	1	18	21	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	18	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9998	3	21	60
6	Spectrogram 1	1	18	21	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	18	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9998	3	21	60
7	Waveform 1	1	21	24	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	21	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.994	3	24	60
7	Spectrogram 1	1	21	24	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	21	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.994	3	24	60
8	Waveform 1	1	27	30	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	27	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9795	3	30	60
8	Spectrogram 1	1	27	30	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	27	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9795	3	30	60
9	Waveform 1	1	30	33	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	30	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9933	3	33	60
9	Spectrogram 1	1	30	33	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	30	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9933	3	33	60
10	Waveform 1	1	33	36	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	33	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9509	3	36	60
10	Spectrogram 1	1	33	36	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	33	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9509	3	36	60
11	Waveform 1	1	39	42	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	39	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.3514	3	42	60
11	Spectrogram 1	1	39	42	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	39	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.3514	3	42	60
12	Waveform 1	1	57	59.98	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	57	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.2568	3	60	60
12	Spectrogram 1	1	57	59.98	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230102_210000.wav	57	TURBERABLEST_20230102_210000.wav	Batrachyla leptopus	Batrachyla leptopus	0.2568	3	60	60
13	Waveform 1	1	101.9771429	104.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	42	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.5481	3	45	60
13	Spectrogram 1	1	101.9771429	104.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	42	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.5481	3	45	60
14	Waveform 1	1	107.9771429	110.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	48	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.7858	3	51	60
14	Spectrogram 1	1	107.9771429	110.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	48	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.7858	3	51	60
15	Waveform 1	1	110.9771429	113.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	51	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9084	3	54	60
15	Spectrogram 1	1	110.9771429	113.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	51	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9084	3	54	60
16	Waveform 1	1	113.9771429	116.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	54	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.7982	3	57	60
16	Spectrogram 1	1	113.9771429	116.9771429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	54	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.7982	3	57	60
17	Waveform 1	1	116.9771429	119.9571429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	57	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.876	3	60	60
17	Spectrogram 1	1	116.9771429	119.9571429	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_110000.wav	57	TURBERABLEST_20230103_110000.wav	Batrachyla leptopus	Batrachyla leptopus	0.876	3	60	60
18	Waveform 1	1	119.9542857	122.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	0	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9241	3	3	60
18	Spectrogram 1	1	119.9542857	122.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	0	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9241	3	3	60
19	Waveform 1	1	122.9542857	125.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	3	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9763	3	6	60
19	Spectrogram 1	1	122.9542857	125.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	3	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9763	3	6	60
20	Waveform 1	1	125.9542857	128.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	6	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.902	3	9	60
20	Spectrogram 1	1	125.9542857	128.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	6	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.902	3	9	60
21	Waveform 1	1	128.9542857	131.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	9	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9937	3	12	60
21	Spectrogram 1	1	128.9542857	131.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	9	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9937	3	12	60
22	Waveform 1	1	137.9542857	140.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	18	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.4565	3	21	60
22	Spectrogram 1	1	137.9542857	140.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	18	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.4565	3	21	60
23	Waveform 1	1	140.9542857	143.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	21	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9634	3	24	60
23	Spectrogram 1	1	140.9542857	143.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	21	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9634	3	24	60
24	Waveform 1	1	143.9542857	146.9542857	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230103_130000.wav	24	TURBERABLEST_20230103_130000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9978	3	27	60
