filename,sample_index,start_time,end_time,Batrachyla leptopus_confidence,Batrachyla leptopus_annotation
TURBERABLEST_20230105_200000,0,0,3,0.0,0
TURBERABLEST_20230105_200000,1,3,6,0.0,0
TURBERABLEST_20230105_200000,2,6,9,0.374,0
TURBERABLEST_20230105_200000,3,9,12,0.0,0
TURBERABLEST_20230105_200000,4,12,15,0.0,0
TURBERABLEST_20230105_200000,5,15,18,0.0,0
TURBERABLEST_20230105_200000,6,18,21,0.0,0
TURBERABLEST_20230105_200000,7,21,24,0.0,0
TURBERABLEST_20230105_200000,8,24,27,0.0,0
TURBERABLEST_20230105_200000,9,27,30,0.0,0
TURBERABLEST_20230105_200000,10,30,33,0.0,0
TURBERABLEST_20230105_200000,11,33,36,0.9526,0
TURBERABLEST_20230105_200000,12,36,39,0.0,0
TURBERABLEST_20230105_200000,13,39,42,0.0,0
TURBERABLEST_20230105_200000,14,42,45,0.0,0
TURBERABLEST_20230105_200000,15,45,48,0.0,0
TURBERABLEST_20230105_200000,16,48,51,0.7732,0
TURBERABLEST_20230105_200000,17,51,54,0.0,0
TURBERABLEST_20230105_200000,18,54,57,0.0,0
TURBERABLEST_20230105_200000,19,57,60,0.0,0
TURBERABLEST_20230104_150000,0,0,3,0.0,0
TURBERABLEST_20230104_150000,1,3,6,0.0,0
TURBERABLEST_20230104_150000,2,6,9,0.0,0
TURBERABLEST_20230104_150000,3,9,12,0.0,0
TURBERABLEST_20230104_150000,4,12,15,0.0,0
TURBERABLEST_20230104_150000,5,15,18,0.0,0
TURBERABLEST_20230104_150000,6,18,21,0.0,0
TURBERABLEST_20230104_150000,7,21,24,0.0,0
TURBERABLEST_20230104_150000,8,24,27,0.0,0
TURBERABLEST_20230104_150000,9,27,30,0.0,0
TURBERABLEST_20230104_150000,10,30,33,0.0,0
TURBERABLEST_20230104_150000,11,33,36,0.0,0
TURBERABLEST_20230104_150000,12,36,39,0.0,0
TURBERABLEST_20230104_150000,13,39,42,0.0,0
TURBERABLEST_20230104_150000,14,42,45,0.0,0
TURBERABLEST_20230104_150000,15,45,48,0.0,0
TURBERABLEST_20230104_150000,16,48,51,0.0,0
TURBERABLEST_20230104_150000,17,51,54,0.0,0
TURBERABLEST_20230104_150000,18,54,57,0.0,0
TURBERABLEST_20230104_150000,19,57,60,0.0,0
TURBERABLEST_20230105_210000,0,0,3,0.0,0
TURBERABLEST_20230105_210000,1,3,6,0.0,0
TURBERABLEST_20230105_210000,2,6,9,0.0,0
TURBERABLEST_20230105_210000,3,9,12,0.0,0
TURBERABLEST_20230105_210000,4,12,15,0.0,0
TURBERABLEST_20230105_210000,5,15,18,0.0,0
TURBERABLEST_20230105_210000,6,18,21,0.0,0
TURBERABLEST_20230105_210000,7,21,24,0.0,0
TURBERABLEST_20230105_210000,8,24,27,0.0,0
TURBERABLEST_20230105_210000,9,27,30,0.0,0
TURBERABLEST_20230105_210000,10,30,33,0.3551,0
TURBERABLEST_20230105_210000,11,33,36,0.6463,0
TURBERABLEST_20230105_210000,12,36,39,0.0,0
TURBERABLEST_20230105_210000,13,39,42,0.5191,0
TURBERABLEST_20230105_210000,14,42,45,0.0,0
TURBERABLEST_20230105_210000,15,45,48,0.0,0
TURBERABLEST_20230105_210000,16,48,51,0.0,0
TURBERABLEST_20230105_210000,17,51,54,0.0,0
TURBERABLEST_20230105_210000,18,54,57,0.0,0
TURBERABLEST_20230105_210000,19,57,60,0.0,0
TURBERABLEST_20230109_160000,0,0,3,0.0,0
TURBERABLEST_20230109_160000,1,3,6,0.0,1
TURBERABLEST_20230109_160000,2,6,9,0.9501,1
TURBERABLEST_20230109_160000,3,9,12,0.9996,1
TURBERABLEST_20230109_160000,4,12,15,0.0,0
TURBERABLEST_20230109_160000,5,15,18,0.0,0
TURBERABLEST_20230109_160000,6,18,21,0.0,0
TURBERABLEST_20230109_160000,7,21,24,0.0,0
TURBERABLEST_20230109_160000,8,24,27,0.0,0
TURBERABLEST_20230109_160000,9,27,30,0.0,1
TURBERABLEST_20230109_160000,10,30,33,0.9958,1
TURBERABLEST_20230109_160000,11,33,36,0.9998,1
TURBERABLEST_20230109_160000,12,36,39,0.0,0
TURBERABLEST_20230109_160000,13,39,42,0.9997,1
TURBERABLEST_20230109_160000,14,42,45,0.9993,1
TURBERABLEST_20230109_160000,15,45,48,0.9999,1
TURBERABLEST_20230109_160000,16,48,51,0.9994,1
TURBERABLEST_20230109_160000,17,51,54,0.9997,1
TURBERABLEST_20230109_160000,18,54,57,0.9956,1
TURBERABLEST_20230109_160000,19,57,60,0.9993,1
TURBERABLEST_20230103_110000,0,0,3,0.0,0
TURBERABLEST_20230103_110000,1,3,6,0.0,0
TURBERABLEST_20230103_110000,2,6,9,0.0,0
TURBERABLEST_20230103_110000,3,9,12,0.0,0
TURBERABLEST_20230103_110000,4,12,15,0.0,0
TURBERABLEST_20230103_110000,5,15,18,0.0,0
TURBERABLEST_20230103_110000,6,18,21,0.0,0
TURBERABLEST_20230103_110000,7,21,24,0.0,0
TURBERABLEST_20230103_110000,8,24,27,0.0,0
TURBERABLEST_20230103_110000,9,27,30,0.0,0
TURBERABLEST_20230103_110000,10,30,33,0.0,0
TURBERABLEST_20230103_110000,11,33,36,0.0,0
TURBERABLEST_20230103_110000,12,36,39,0.0,0
TURBERABLEST_20230103_110000,13,39,42,0.0,0
TURBERABLEST_20230103_110000,14,42,45,0.5481,0
TURBERABLEST_20230103_110000,15,45,48,0.0,0
TURBERABLEST_20230103_110000,16,48,51,0.7858,1
TURBERABLEST_20230103_110000,17,51,54,0.9084,1
TURBERABLEST_20230103_110000,18,54,57,0.7982,1
TURBERABLEST_20230103_110000,19,57,60,0.876,1
TURBERABLEST_20230105_150000,0,0,3,0.9701,1
TURBERABLEST_20230105_150000,1,3,6,0.4384,1
TURBERABLEST_20230105_150000,2,6,9,0.9475,1
TURBERABLEST_20230105_150000,3,9,12,0.7325,1
TURBERABLEST_20230105_150000,4,12,15,0.0,0
TURBERABLEST_20230105_150000,5,15,18,0.0,0
TURBERABLEST_20230105_150000,6,18,21,0.0,1
TURBERABLEST_20230105_150000,7,21,24,0.3402,1
TURBERABLEST_20230105_150000,8,24,27,0.735,1
TURBERABLEST_20230105_150000,9,27,30,0.5385,1
TURBERABLEST_20230105_150000,10,30,33,0.0,1
TURBERABLEST_20230105_150000,11,33,36,0.0,1
TURBERABLEST_20230105_150000,12,36,39,0.0,0
TURBERABLEST_20230105_150000,13,39,42,0.0,0
TURBERABLEST_20230105_150000,14,42,45,0.0,0
TURBERABLEST_20230105_150000,15,45,48,0.2938,1
TURBERABLEST_20230105_150000,16,48,51,0.5273,1
TURBERABLEST_20230105_150000,17,51,54,0.5835,1
TURBERABLEST_20230105_150000,18,54,57,0.0,0
