Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Delta Time (s)	Common Name	Duration	Corrected_End_Time
1	Spectrogram 1	1	5.245769620	19.553675300	340.600	3771.800	TURBERABLEST_20230102_210000.wav	5.2458	14.3079	Batrachyla leptopus	60	19.5537
2	Spectrogram 1	1	21.704718350	22.440236310	550.600	3564.600	TURBERABLEST_20230102_210000.wav	21.7047	0.7355	Batrachyla leptopus	60	22.4402
3	Spectrogram 1	1	25.895782920	26.631300880	985.300	3999.400	TURBERABLEST_20230102_210000.wav	25.8958	0.7355	Batrachyla leptopus	60	26.6313
4	Spectrogram 1	1	28.254991460	30.614199990	318.800	3216.900	TURBERABLEST_20230102_210000.wav	28.2550	2.3592	Batrachyla leptopus	60	30.6142
5	Spectrogram 1	1	31.308084860	32.001969720	811.500	3303.800	TURBERABLEST_20230102_210000.wav	31.3081	0.6939	Batrachyla leptopus	60	32.002
6	Spectrogram 1	1	32.834631820	33.722804440	666.600	3332.800	TURBERABLEST_20230102_210000.wav	32.8346	0.8882	Batrachyla leptopus	60	33.7228
7	Spectrogram 1	1	56.433655920	56.877742240	970.400	3008.400	TURBERABLEST_20230102_210000.wav	56.4337	0.4441	Batrachyla leptopus	60	56.8778
8	Spectrogram 1	1	57.752037160	58.279389660	1002.800	2911.300	TURBERABLEST_20230102_210000.wav	57.7520	0.5274	Batrachyla leptopus	60	58.2794
9	Spectrogram 1	1	109.702859500	110.230212000	1035.100	2717.200	TURBERABLEST_20230103_110000.wav	49.7257	0.5274	Batrachyla leptopus	60	50.2531
10	Spectrogram 1	1	111.090629200	111.673492500	1099.800	2717.200	TURBERABLEST_20230103_110000.wav	51.1135	0.5829	Batrachyla leptopus	60	51.6964
11	Spectrogram 1	1	112.492276700	113.061262300	970.400	2976.000	TURBERABLEST_20230103_110000.wav	52.5151	0.5690	Batrachyla leptopus	60	53.0841
12	Spectrogram 1	1	114.018823400	114.615564300	841.000	3073.100	TURBERABLEST_20230103_110000.wav	54.0417	0.5967	Batrachyla leptopus	60	54.6384
13	Spectrogram 1	1	119.042549800	119.680923800	776.400	2749.600	TURBERABLEST_20230103_110000.wav	59.0654	0.6384	Batrachyla leptopus	60	59.7038
14	Spectrogram 1	1	120.125011000	124.399341700	549.900	3008.400	TURBERABLEST_20230103_130000.wav	0.1707	4.2743	Batrachyla leptopus	60	4.445
15	Spectrogram 1	1	127.466313300	131.463090100	355.800	2976.000	TURBERABLEST_20230103_130000.wav	7.5120	3.9968	Batrachyla leptopus	60	11.5088
16	Spectrogram 1	1	140.976251000	145.750178800	129.400	3105.400	TURBERABLEST_20230103_130000.wav	21.0220	4.7739	Batrachyla leptopus	60	25.7959
17	Spectrogram 1	1	150.315941200	150.954315200	679.300	2976.000	TURBERABLEST_20230103_130000.wav	30.3617	0.6384	Batrachyla leptopus	60	31.0001
18	Spectrogram 1	1	153.049847500	153.882509400	970.400	3073.100	TURBERABLEST_20230103_130000.wav	33.0956	0.8327	Batrachyla leptopus	60	33.9283
19	Spectrogram 1	1	155.145379800	155.797631600	1002.800	3299.500	TURBERABLEST_20230103_130000.wav	35.1911	0.6523	Batrachyla leptopus	60	35.8434
20	Spectrogram 1	1	157.726630800	158.267861000	1067.500	3040.700	TURBERABLEST_20230103_130000.wav	37.7723	0.5412	Batrachyla leptopus	60	38.3135
21	Spectrogram 1	1	163.347098200	168.412457700	517.600	2943.700	TURBERABLEST_20230103_130000.wav	43.3928	5.0654	Batrachyla leptopus	60	48.4582
22	Spectrogram 1	1	169.300631100	169.827983600	1132.200	2879.000	TURBERABLEST_20230103_130000.wav	49.3463	0.5274	Batrachyla leptopus	60	49.8737
23	Spectrogram 1	1	173.727616600	174.338235300	1358.600	3170.100	TURBERABLEST_20230103_130000.wav	53.7733	0.6106	Batrachyla leptopus	60	54.3839
24	Spectrogram 1	1	175.226407900	175.726005000	1358.600	2943.700	TURBERABLEST_20230103_130000.wav	55.2721	0.4996	Batrachyla leptopus	60	55.7717
25	Spectrogram 1	1	178.695832200	179.431350100	808.700	3202.400	TURBERABLEST_20230103_130000.wav	58.7415	0.7355	Batrachyla leptopus	60	59.477
26	Spectrogram 1	1	243.823870200	248.916985100	388.200	3752.400	TURBERABLEST_20230104_160000.wav	3.9153	5.0931	Batrachyla leptopus	60	9.0084
27	Spectrogram 1	1	252.483553900	257.895855800	291.100	2814.300	TURBERABLEST_20230104_160000.wav	12.5750	5.4123	Batrachyla leptopus	60	17.9873
28	Spectrogram 1	1	258.950560800	262.850193700	258.800	3008.400	TURBERABLEST_20230104_160000.wav	19.0420	3.8996	Batrachyla leptopus	60	22.9416
29	Spectrogram 1	1	263.988164100	264.682049000	808.700	2943.700	TURBERABLEST_20230104_160000.wav	24.0796	0.6939	Batrachyla leptopus	60	24.7735
30	Spectrogram 1	1	266.791459000	267.332689200	1099.800	3234.800	TURBERABLEST_20230104_160000.wav	26.8829	0.5412	Batrachyla leptopus	60	27.4241
31	Spectrogram 1	1	268.498415700	269.178422900	1002.800	3331.800	TURBERABLEST_20230104_160000.wav	28.5898	0.6800	Batrachyla leptopus	60	29.2698
32	Spectrogram 1	1	270.260883300	273.563775200	873.400	3428.900	TURBERABLEST_20230104_160000.wav	30.3523	3.3029	Batrachyla leptopus	60	33.6552
33	Spectrogram 1	1	281.085486100	283.167140700	776.400	2361.400	TURBERABLEST_20230104_160000.wav	41.1769	2.0817	Batrachyla leptopus	60	43.2586
34	Spectrogram 1	1	289.883945700	292.021111100	744.000	2329.100	TURBERABLEST_20230104_160000.wav	49.9754	2.1372	Batrachyla leptopus	60	52.1126
35	Spectrogram 1	1	292.701118200	294.990938300	841.000	2523.100	TURBERABLEST_20230104_160000.wav	52.7925	2.2898	Batrachyla leptopus	60	55.0823
36	Spectrogram 1	1	299.931398200	300.458750700	1164.500	3428.900	TURBERABLEST_20230104_170000.wav	0.0457	0.5274	Batrachyla leptopus	60	0.5731
37	Spectrogram 1	1	301.929786600	303.359189400	1132.200	3331.800	TURBERABLEST_20230104_170000.wav	2.0441	1.4294	Batrachyla leptopus	60	3.4735
