Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
1	Spectrogram 1	1	15	18	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	15	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3388	3	18	60
2	Spectrogram 1	1	18	21	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	18	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9988	3	21	60
3	Spectrogram 1	1	21	24	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	21	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9987	3	24	60
4	Spectrogram 1	1	24	27	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	24	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9988	3	27	60
5	Spectrogram 1	1	30	33	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	30	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9374	3	33	60
6	Spectrogram 1	1	33	36	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	33	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	36	60
7	Spectrogram 1	1	36	39	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	36	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9596	3	39	60
8	Spectrogram 1	1	39	42	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	39	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3946	3	42	60
9	Spectrogram 1	1	42	45	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_100000.wav	42	TURBERABLEST_20230116_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.5094	3	45	60
10	Spectrogram 1	1	59.97714286	62.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	0	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9998	3	3	60
11	Spectrogram 1	1	62.97714286	65.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	3	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9998	3	6	60
12	Spectrogram 1	1	65.97714286	68.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	6	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	9	60
13	Spectrogram 1	1	68.97714286	71.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	9	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	12	60
14	Spectrogram 1	1	71.97714286	74.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	12	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	15	60
15	Spectrogram 1	1	92.97714286	95.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	33	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.5342	3	36	60
16	Spectrogram 1	1	95.97714286	98.97714286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	36	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.6079	3	39	60
17	Spectrogram 1	1	98.97714286	101.9771429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	39	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9964	3	42	60
18	Spectrogram 1	1	101.9771429	104.9771429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	42	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	45	60
19	Spectrogram 1	1	104.9771429	107.9771429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	45	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	48	60
20	Spectrogram 1	1	107.9771429	110.9771429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	48	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9991	3	51	60
21	Spectrogram 1	1	110.9771429	113.9771429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	51	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	54	60
22	Spectrogram 1	1	113.9771429	116.9771429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	54	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	57	60
23	Spectrogram 1	1	116.9771429	119.9571429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230116_190000.wav	57	TURBERABLEST_20230116_190000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	60	60
24	Spectrogram 1	1	131.9542857	134.9542857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_100000.wav	12	TURBERABLEST_20230117_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9952	3	15	60
25	Spectrogram 1	1	134.9542857	137.9542857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_100000.wav	15	TURBERABLEST_20230117_100000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8559	3	18	60
26	Spectrogram 1	1	179.9314286	182.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	0	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.5814	3	3	60
27	Spectrogram 1	1	182.9314286	185.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	3	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.386	3	6	60
28	Spectrogram 1	1	185.9314286	188.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	6	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9375	3	9	60
29	Spectrogram 1	1	188.9314286	191.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	9	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.6956	3	12	60
30	Spectrogram 1	1	191.9314286	194.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	12	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.6003	3	15	60
31	Spectrogram 1	1	194.9314286	197.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	15	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8136	3	18	60
32	Spectrogram 1	1	197.9314286	200.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	18	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8426	3	21	60
33	Spectrogram 1	1	203.9314286	206.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	24	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.5987	3	27	60
34	Spectrogram 1	1	206.9314286	209.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	27	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.791	3	30	60
35	Spectrogram 1	1	209.9314286	212.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	30	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3608	3	33	60
36	Spectrogram 1	1	218.9314286	221.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	39	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4962	3	42	60
37	Spectrogram 1	1	224.9314286	227.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	45	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4293	3	48	60
38	Spectrogram 1	1	227.9314286	230.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	48	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.7644	3	51	60
39	Spectrogram 1	1	230.9314286	233.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	51	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9597	3	54	60
40	Spectrogram 1	1	233.9314286	236.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	54	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8691	3	57	60
41	Spectrogram 1	1	239.9085714	242.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	0	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9997	3	3	60
42	Spectrogram 1	1	242.9085714	245.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	3	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9994	3	6	60
43	Spectrogram 1	1	245.9085714	248.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	6	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9983	3	9	60
44	Spectrogram 1	1	248.9085714	251.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	9	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9993	3	12	60
