filename,sample_index,start_time,end_time,Batrachyla taeniata_confidence,Batrachyla taeniata_annotation
TURBERABLEST_20230122_090000,0,0,3,0.0,0
TURBERABLEST_20230122_090000,1,3,6,0.0,0
TURBERABLEST_20230122_090000,2,6,9,0.0,0
TURBERABLEST_20230122_090000,3,9,12,0.0,0
TURBERABLEST_20230122_090000,4,12,15,0.3304,0
TURBERABLEST_20230122_090000,5,15,18,0.0,0
TURBERABLEST_20230122_090000,6,18,21,0.0,0
TURBERABLEST_20230122_090000,7,21,24,0.0,0
TURBERABLEST_20230122_090000,8,24,27,0.0,0
TURBERABLEST_20230122_090000,9,27,30,0.0,0
TURBERABLEST_20230122_090000,10,30,33,0.0,0
TURBERABLEST_20230122_090000,11,33,36,0.0,0
TURBERABLEST_20230122_090000,12,36,39,0.0,0
TURBERABLEST_20230122_090000,13,39,42,0.0,0
TURBERABLEST_20230122_090000,14,42,45,0.0,0
TURBERABLEST_20230122_090000,15,45,48,0.0,0
TURBERABLEST_20230122_090000,16,48,51,0.0,0
TURBERABLEST_20230122_090000,17,51,54,0.0,0
TURBERABLEST_20230122_090000,18,54,57,0.0,0
TURBERABLEST_20230122_090000,19,57,60,0.0,0
TURBERABLEST_20230116_190000,0,0,3,0.9998,1
TURBERABLEST_20230116_190000,1,3,6,0.9998,1
TURBERABLEST_20230116_190000,2,6,9,1.0,1
TURBERABLEST_20230116_190000,3,9,12,1.0,1
TURBERABLEST_20230116_190000,4,12,15,1.0,1
TURBERABLEST_20230116_190000,5,15,18,0.0,0
TURBERABLEST_20230116_190000,6,18,21,0.0,0
TURBERABLEST_20230116_190000,7,21,24,0.0,0
TURBERABLEST_20230116_190000,8,24,27,0.0,0
TURBERABLEST_20230116_190000,9,27,30,0.0,0
TURBERABLEST_20230116_190000,10,30,33,0.0,0
TURBERABLEST_20230116_190000,11,33,36,0.5342,1
TURBERABLEST_20230116_190000,12,36,39,0.6079,1
TURBERABLEST_20230116_190000,13,39,42,0.9964,1
TURBERABLEST_20230116_190000,14,42,45,0.9999,1
TURBERABLEST_20230116_190000,15,45,48,1.0,1
TURBERABLEST_20230116_190000,16,48,51,0.9991,1
TURBERABLEST_20230116_190000,17,51,54,1.0,1
TURBERABLEST_20230116_190000,18,54,57,1.0,1
TURBERABLEST_20230116_190000,19,57,60,1.0,1
TURBERABLEST_20230116_100000,0,0,3,0.0,0
TURBERABLEST_20230116_100000,1,3,6,0.0,0
TURBERABLEST_20230116_100000,2,6,9,0.0,0
TURBERABLEST_20230116_100000,3,9,12,0.0,0
TURBERABLEST_20230116_100000,4,12,15,0.0,0
TURBERABLEST_20230116_100000,5,15,18,0.3388,0
TURBERABLEST_20230116_100000,6,18,21,0.9988,1
TURBERABLEST_20230116_100000,7,21,24,0.9987,1
TURBERABLEST_20230116_100000,8,24,27,0.9988,1
TURBERABLEST_20230116_100000,9,27,30,0.0,0
TURBERABLEST_20230116_100000,10,30,33,0.9374,1
TURBERABLEST_20230116_100000,11,33,36,1.0,1
TURBERABLEST_20230116_100000,12,36,39,0.9596,1
TURBERABLEST_20230116_100000,13,39,42,0.3946,0
TURBERABLEST_20230116_100000,14,42,45,0.5094,0
TURBERABLEST_20230116_100000,15,45,48,0.0,0
TURBERABLEST_20230116_100000,16,48,51,0.0,0
TURBERABLEST_20230116_100000,17,51,54,0.0,0
TURBERABLEST_20230116_100000,18,54,57,0.0,0
TURBERABLEST_20230116_100000,19,57,60,0.0,0
TURBERABLEST_20230122_220000,0,0,3,0.0,0
TURBERABLEST_20230122_220000,1,3,6,0.0,0
TURBERABLEST_20230122_220000,2,6,9,0.0,0
TURBERABLEST_20230122_220000,3,9,12,0.0,0
TURBERABLEST_20230122_220000,4,12,15,0.0,0
TURBERABLEST_20230122_220000,5,15,18,0.0,0
TURBERABLEST_20230122_220000,6,18,21,0.0,0
TURBERABLEST_20230122_220000,7,21,24,0.0,1
TURBERABLEST_20230122_220000,8,24,27,0.26,1
TURBERABLEST_20230122_220000,9,27,30,0.773,1
TURBERABLEST_20230122_220000,10,30,33,0.4215,1
TURBERABLEST_20230122_220000,11,33,36,0.3399,1
TURBERABLEST_20230122_220000,12,36,39,0.8554,1
TURBERABLEST_20230122_220000,13,39,42,0.5192,1
TURBERABLEST_20230122_220000,14,42,45,0.6749,1
TURBERABLEST_20230122_220000,15,45,48,0.4981,1
TURBERABLEST_20230122_220000,16,48,51,0.3959,1
TURBERABLEST_20230122_220000,17,51,54,0.7481,1
TURBERABLEST_20230122_220000,18,54,57,0.7102,1
TURBERABLEST_20230122_220000,19,57,60,0.0,1
TURBERABLEST_20230117_210000,0,0,3,0.0,0
TURBERABLEST_20230117_210000,1,3,6,0.0,0
TURBERABLEST_20230117_210000,2,6,9,0.0,0
TURBERABLEST_20230117_210000,3,9,12,0.0,0
TURBERABLEST_20230117_210000,4,12,15,0.0,0
TURBERABLEST_20230117_210000,5,15,18,0.0,0
TURBERABLEST_20230117_210000,6,18,21,0.0,0
TURBERABLEST_20230117_210000,7,21,24,0.0,0
TURBERABLEST_20230117_210000,8,24,27,0.0,0
TURBERABLEST_20230117_210000,9,27,30,0.0,0
TURBERABLEST_20230117_210000,10,30,33,0.0,0
TURBERABLEST_20230117_210000,11,33,36,0.0,0
TURBERABLEST_20230117_210000,12,36,39,0.0,0
TURBERABLEST_20230117_210000,13,39,42,0.0,0
TURBERABLEST_20230117_210000,14,42,45,0.0,0
TURBERABLEST_20230117_210000,15,45,48,0.0,0
TURBERABLEST_20230117_210000,16,48,51,0.0,0
TURBERABLEST_20230117_210000,17,51,54,0.0,0
TURBERABLEST_20230117_210000,18,54,57,0.0,0
TURBERABLEST_20230117_210000,19,57,60,0.0,0
TURBERABLEST_20230117_150000,0,0,3,0.5814,0
TURBERABLEST_20230117_150000,1,3,6,0.386,0
TURBERABLEST_20230117_150000,2,6,9,0.9375,0
