Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Common Name	Duration	Corrected_End_Time
1	Spectrogram 1	1	19.706330140	20.414092700	1123.900	3960.400	TURBERABLEST_20230116_100000.wav	0.7078	19.7063	Batrachyla taeniata	60	20.4141
2	Spectrogram 1	1	25.354552930	25.951293910	1123.900	3853.400	TURBERABLEST_20230116_100000.wav	0.5967	25.3546	Batrachyla taeniata	60	25.9513
3	Spectrogram 1	1	21.912884010	22.773301240	1052.500	3924.800	TURBERABLEST_20230116_100000.wav	0.8604	21.9129	Batrachyla taeniata	60	22.7733
4	Spectrogram 1	1	18.096517260	18.707135940	1248.800	3889.100	TURBERABLEST_20230116_100000.wav	0.6106	18.0965	Batrachyla taeniata	60	18.7071
5	Spectrogram 1	1	32.501566210	33.098307190	991.300	3650.800	TURBERABLEST_20230116_100000.wav	0.5967	32.5016	Batrachyla taeniata	60	33.0983
6	Spectrogram 1	1	34.055868310	34.763630870	1039.600	3989.300	TURBERABLEST_20230116_100000.wav	0.7078	34.0559	Batrachyla taeniata	60	34.7637
7	Spectrogram 1	1	35.443638030	36.373443750	1112.200	4327.800	TURBERABLEST_20230116_100000.wav	0.9298	35.4436	Batrachyla taeniata	60	36.3734
8	Spectrogram 1	1	59.995238210	65.539591030	1184.700	4013.500	TURBERABLEST_20230116_190000.wav	5.5444	0.0181	Batrachyla taeniata	60	5.5625
9	Spectrogram 1	1	66.736781280	69.062465560	991.300	3965.100	TURBERABLEST_20230116_190000.wav	2.3257	6.7596	Batrachyla taeniata	60	9.0853
10	Spectrogram 1	1	69.523677210	74.724574540	870.400	4037.700	TURBERABLEST_20230116_190000.wav	5.2009	9.5465	Batrachyla taeniata	60	14.7474
11	Spectrogram 1	1	95.891254740	96.283775290	967.100	3384.900	TURBERABLEST_20230116_190000.wav	0.3925	35.9141	Batrachyla taeniata	60	36.3066
12	Spectrogram 1	1	97.245450650	99.423939720	894.600	4231.100	TURBERABLEST_20230116_190000.wav	2.1785	37.2683	Batrachyla taeniata	60	39.4468
13	Spectrogram 1	1	100.866454100	105.606139800	701.200	4086.000	TURBERABLEST_20230116_190000.wav	4.7397	40.8893	Batrachyla taeniata	60	45.629
14	Spectrogram 1	1	105.949597100	108.059395100	773.700	4158.600	TURBERABLEST_20230116_190000.wav	2.1098	45.9724	Batrachyla taeniata	60	48.0822
15	Spectrogram 1	1	108.471541700	109.099574600	773.700	4448.700	TURBERABLEST_20230116_190000.wav	0.6280	48.4944	Batrachyla taeniata	60	49.1224
16	Spectrogram 1	1	110.424333100	112.396748800	580.300	4448.700	TURBERABLEST_20230116_190000.wav	1.9724	50.4472	Batrachyla taeniata	60	52.4196
17	Spectrogram 1	1	113.819638500	119.952772200	459.400	4352.000	TURBERABLEST_20230116_190000.wav	6.1331	53.8425	Batrachyla taeniata	60	59.9756
18	Spectrogram 1	1	131.954093400	132.258296800	1088.000	2659.500	TURBERABLEST_20230117_100000.wav	0.3042	11.9998	Batrachyla taeniata	60	12.304
19	Spectrogram 1	1	133.573240700	133.926509200	1257.200	3143.100	TURBERABLEST_20230117_100000.wav	0.3533	13.6190	Batrachyla taeniata	60	13.9723
20	Spectrogram 1	1	135.702664700	136.026494200	1305.600	2756.200	TURBERABLEST_20230117_100000.wav	0.3238	15.7484	Batrachyla taeniata	60	16.0722
21	Spectrogram 1	1	137.419942100	137.812462700	1208.900	2707.900	TURBERABLEST_20230117_100000.wav	0.3925	17.4656	Batrachyla taeniata	60	17.8581
22	Spectrogram 1	1	240.242205200	241.655279200	846.200	4424.500	TURBERABLEST_20230117_180000.wav	1.4131	0.3336	Batrachyla taeniata	60	1.7467
23	Spectrogram 1	1	242.469759300	243.765077100	1136.300	4400.300	TURBERABLEST_20230117_180000.wav	1.2953	2.5612	Batrachyla taeniata	60	3.8565
24	Spectrogram 1	1	244.461801100	245.874875100	797.900	4061.800	TURBERABLEST_20230117_180000.wav	1.4131	4.5532	Batrachyla taeniata	60	5.9663
25	Spectrogram 1	1	246.728609800	254.755655900	677.000	4086.000	TURBERABLEST_20230117_180000.wav	8.0270	6.8200	Batrachyla taeniata	60	14.847
26	Spectrogram 1	1	255.452381200	258.778992900	942.900	4231.100	TURBERABLEST_20230117_180000.wav	3.3266	15.5438	Batrachyla taeniata	60	18.8704
27	Spectrogram 1	1	259.043944300	261.919157400	604.400	4182.700	TURBERABLEST_20230117_180000.wav	2.8752	19.1354	Batrachyla taeniata	60	22.0106
28	Spectrogram 1	1	262.193922300	268.395747100	604.400	3941.000	TURBERABLEST_20230117_180000.wav	6.2018	22.2854	Batrachyla taeniata	60	28.4872
29	Spectrogram 1	1	269.327984800	277.551290400	652.800	3529.900	TURBERABLEST_20230117_180000.wav	8.2233	29.4194	Batrachyla taeniata	60	37.6427
30	Spectrogram 1	1	277.747551400	284.547970000	483.600	3481.600	TURBERABLEST_20230117_180000.wav	6.8004	37.8390	Batrachyla taeniata	60	44.6394
32	Spectrogram 1	1	284.744232100	286.186745100	580.300	3554.100	TURBERABLEST_20230117_180000.wav	1.4425	44.8357	Batrachyla taeniata	60	46.2782
33	Spectrogram 1	1	287.187672500	289.474104700	701.200	3578.300	TURBERABLEST_20230117_180000.wav	2.2864	47.2791	Batrachyla taeniata	60	49.5655
34	Spectrogram 1	1	289.896064300	290.582975300	991.300	3795.900	TURBERABLEST_20230117_180000.wav	0.6869	49.9875	Batrachyla taeniata	60	50.6744
35	Spectrogram 1	1	291.495585600	296.029198000	531.900	3554.100	TURBERABLEST_20230117_180000.wav	4.5336	51.5870	Batrachyla taeniata	60	56.1206
36	Spectrogram 1	1	296.323588600	299.610948300	677.000	3626.600	TURBERABLEST_20230117_180000.wav	3.2874	56.4150	Batrachyla taeniata	60	59.7024
37	Spectrogram 1	1	359.892318700	360.765676900	652.800	3529.900	TURBERABLEST_20230118_110000.wav	0.8734	0.0295	Batrachyla taeniata	60	0.9029
38	Spectrogram 1	1	361.207262600	362.855848900	797.900	3675.000	TURBERABLEST_20230118_110000.wav	1.6486	1.3444	Batrachyla taeniata	60	2.993
39	Spectrogram 1	1	363.699768100	365.564240700	894.600	3699.200	TURBERABLEST_20230118_110000.wav	1.8645	3.8369	Batrachyla taeniata	60	5.7014
40	Spectrogram 1	1	366.015639300	371.088967500	846.200	3626.600	TURBERABLEST_20230118_110000.wav	5.0733	6.1528	Batrachyla taeniata	60	11.2261
41	Spectrogram 1	1	371.599247100	377.202478000	822.000	3312.300	TURBERABLEST_20230118_110000.wav	5.6032	11.7364	Batrachyla taeniata	60	17.3396
42	Spectrogram 1	1	378.016961700	378.605742500	1039.600	3723.400	TURBERABLEST_20230118_110000.wav	0.5888	18.1541	Batrachyla taeniata	60	18.7429
43	Spectrogram 1	1	379.430035700	381.117874000	773.700	3602.500	TURBERABLEST_20230118_110000.wav	1.6878	19.5672	Batrachyla taeniata	60	21.255
44	Spectrogram 1	1	382.069736400	382.589826100	1184.700	3602.500	TURBERABLEST_20230118_110000.wav	0.5201	22.2069	Batrachyla taeniata	60	22.727
45	Spectrogram 1	1	398.045332100	398.398600600	1257.200	3215.600	TURBERABLEST_20230118_110000.wav	0.3533	38.1825	Batrachyla taeniata	60	38.5358
46	Spectrogram 1	1	399.114950600	399.487845200	1257.200	3167.300	TURBERABLEST_20230118_110000.wav	0.3729	39.2521	Batrachyla taeniata	60	39.625
47	Spectrogram 1	1	562.158220900	567.751638800	1353.900	3094.700	TURBERABLEST_20230122_220000.wav	5.5934	22.3639	Batrachyla taeniata	60	27.9573
48	Spectrogram 1	1	569.037143300	576.495033900	967.100	3191.400	TURBERABLEST_20230122_220000.wav	7.4579	29.2429	Batrachyla taeniata	60	36.7008
49	Spectrogram 1	1	576.995496700	585.817396100	894.600	3384.900	TURBERABLEST_20230122_220000.wav	8.8219	37.2012	Batrachyla taeniata	60	46.0231
50	Spectrogram 1	1	586.141225100	594.815929400	846.200	3360.700	TURBERABLEST_20230122_220000.wav	8.6747	46.3469	Batrachyla taeniata	60	55.0216
51	Spectrogram 1	1	594.874806300	599.712622100	918.700	3118.900	TURBERABLEST_20230122_220000.wav	4.8378	55.0805	Batrachyla taeniata	60	59.9183
53	Spectrogram 1	1	316.516057666	316.516057666	7372.340	7372.340	TURBERABLEST_20230117_210000.wav	0.0000	16.6303	NA	60	
