Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
1	Spectrogram 1	1	0	3	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	0	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9395	3	3	60
2	Spectrogram 1	1	3	6	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	3	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9991	3	6	60
3	Spectrogram 1	1	6	9	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	6	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9999	3	9	60
4	Spectrogram 1	1	9	12	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	9	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9987	3	12	60
5	Spectrogram 1	1	12	15	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	12	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9997	3	15	60
6	Spectrogram 1	1	15	18	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	15	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9976	3	18	60
7	Spectrogram 1	1	18	21	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	18	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9983	3	21	60
8	Spectrogram 1	1	21	24	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	21	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9988	3	24	60
9	Spectrogram 1	1	24	27	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	24	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9311	3	27	60
10	Spectrogram 1	1	27	30	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	27	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9924	3	30	60
11	Spectrogram 1	1	30	33	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	30	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9977	3	33	60
12	Spectrogram 1	1	33	36	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	33	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9955	3	36	60
13	Spectrogram 1	1	36	39	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	36	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9983	3	39	60
14	Spectrogram 1	1	39	42	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	39	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9987	3	42	60
15	Spectrogram 1	1	42	45	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	42	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9934	3	45	60
16	Spectrogram 1	1	45	48	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	45	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9995	3	48	60
17	Spectrogram 1	1	48	51	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	48	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9993	3	51	60
18	Spectrogram 1	1	51	54	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	51	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9978	3	54	60
19	Spectrogram 1	1	54	57	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	54	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9997	3	57	60
20	Spectrogram 1	1	57	59.98	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_000000.wav	57	BLESTCANTARO_20230101_000000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9996	3	60	60
21	Spectrogram 1	1	59.97714286	62.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	0	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9904	3	3	60
22	Spectrogram 1	1	62.97714286	65.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	3	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9922	3	6	60
23	Spectrogram 1	1	65.97714286	68.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	6	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.995	3	9	60
24	Spectrogram 1	1	68.97714286	71.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	9	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.989	3	12	60
25	Spectrogram 1	1	71.97714286	74.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	12	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9987	3	15	60
26	Spectrogram 1	1	74.97714286	77.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	15	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9989	3	18	60
27	Spectrogram 1	1	77.97714286	80.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	18	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9818	3	21	60
28	Spectrogram 1	1	80.97714286	83.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	21	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9993	3	24	60
29	Spectrogram 1	1	83.97714286	86.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	24	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9892	3	27	60
30	Spectrogram 1	1	86.97714286	89.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	27	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9995	3	30	60
31	Spectrogram 1	1	89.97714286	92.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	30	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.996	3	33	60
32	Spectrogram 1	1	92.97714286	95.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	33	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.989	3	36	60
33	Spectrogram 1	1	95.97714286	98.97714286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	36	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9874	3	39	60
34	Spectrogram 1	1	98.97714286	101.9771429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	39	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9987	3	42	60
35	Spectrogram 1	1	101.9771429	104.9771429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	42	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9993	3	45	60
36	Spectrogram 1	1	104.9771429	107.9771429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	45	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9992	3	48	60
37	Spectrogram 1	1	107.9771429	110.9771429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	48	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9998	3	51	60
38	Spectrogram 1	1	110.9771429	113.9771429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	51	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9995	3	54	60
39	Spectrogram 1	1	113.9771429	116.9771429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	54	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9995	3	57	60
40	Spectrogram 1	1	116.9771429	119.9571429	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_010000.wav	57	BLESTCANTARO_20230101_010000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9986	3	60	60
41	Spectrogram 1	1	119.9542857	122.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	0	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9278	3	3	60
42	Spectrogram 1	1	122.9542857	125.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	3	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.3482	3	6	60
43	Spectrogram 1	1	125.9542857	128.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	6	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9948	3	9	60
44	Spectrogram 1	1	128.9542857	131.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	9	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9125	3	12	60
45	Spectrogram 1	1	131.9542857	134.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	12	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.531	3	15	60
46	Spectrogram 1	1	134.9542857	137.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	15	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.98	3	18	60
47	Spectrogram 1	1	137.9542857	140.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	18	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9946	3	21	60
48	Spectrogram 1	1	140.9542857	143.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	21	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9023	3	24	60
49	Spectrogram 1	1	143.9542857	146.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	24	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9876	3	27	60
50	Spectrogram 1	1	146.9542857	149.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	27	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9877	3	30	60
51	Spectrogram 1	1	149.9542857	152.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	30	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.701	3	33	60
52	Spectrogram 1	1	152.9542857	155.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	33	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9581	3	36	60
53	Spectrogram 1	1	155.9542857	158.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	36	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9756	3	39	60
54	Spectrogram 1	1	158.9542857	161.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	39	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.999	3	42	60
55	Spectrogram 1	1	161.9542857	164.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	42	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9993	3	45	60
56	Spectrogram 1	1	164.9542857	167.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	45	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9904	3	48	60
57	Spectrogram 1	1	167.9542857	170.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	48	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9925	3	51	60
58	Spectrogram 1	1	170.9542857	173.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	51	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9856	3	54	60
59	Spectrogram 1	1	173.9542857	176.9542857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	54	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9989	3	57	60
60	Spectrogram 1	1	176.9542857	179.9342857	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_020000.wav	57	BLESTCANTARO_20230101_020000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9968	3	60	60
61	Spectrogram 1	1	179.9314286	182.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	0	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9968	3	3	60
62	Spectrogram 1	1	182.9314286	185.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	3	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9985	3	6	60
63	Spectrogram 1	1	185.9314286	188.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	6	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9997	3	9	60
64	Spectrogram 1	1	188.9314286	191.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	9	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9875	3	12	60
65	Spectrogram 1	1	191.9314286	194.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	12	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9798	3	15	60
66	Spectrogram 1	1	194.9314286	197.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	15	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9972	3	18	60
67	Spectrogram 1	1	197.9314286	200.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	18	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9624	3	21	60
68	Spectrogram 1	1	200.9314286	203.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	21	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9745	3	24	60
69	Spectrogram 1	1	203.9314286	206.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	24	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9994	3	27	60
70	Spectrogram 1	1	206.9314286	209.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	27	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9893	3	30	60
71	Spectrogram 1	1	209.9314286	212.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	30	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9974	3	33	60
72	Spectrogram 1	1	212.9314286	215.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	33	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9998	3	36	60
73	Spectrogram 1	1	215.9314286	218.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	36	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9666	3	39	60
74	Spectrogram 1	1	218.9314286	221.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	39	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9994	3	42	60
75	Spectrogram 1	1	221.9314286	224.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	42	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9988	3	45	60
76	Spectrogram 1	1	224.9314286	227.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	45	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9989	3	48	60
77	Spectrogram 1	1	227.9314286	230.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	48	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9986	3	51	60
78	Spectrogram 1	1	230.9314286	233.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	51	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9985	3	54	60
79	Spectrogram 1	1	233.9314286	236.9314286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	54	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9987	3	57	60
80	Spectrogram 1	1	236.9314286	239.9114286	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_030000.wav	57	BLESTCANTARO_20230101_030000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9897	3	60	60
81	Spectrogram 1	1	239.9085714	242.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	0	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9992	3	3	60
82	Spectrogram 1	1	242.9085714	245.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	3	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9977	3	6	60
83	Spectrogram 1	1	245.9085714	248.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	6	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9954	3	9	60
84	Spectrogram 1	1	248.9085714	251.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	9	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9992	3	12	60
85	Spectrogram 1	1	251.9085714	254.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	12	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9997	3	15	60
86	Spectrogram 1	1	254.9085714	257.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	15	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9982	3	18	60
87	Spectrogram 1	1	257.9085714	260.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	18	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.999	3	21	60
88	Spectrogram 1	1	260.9085714	263.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	21	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9989	3	24	60
89	Spectrogram 1	1	263.9085714	266.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	24	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9965	3	27	60
90	Spectrogram 1	1	266.9085714	269.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	27	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9992	3	30	60
91	Spectrogram 1	1	269.9085714	272.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	30	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9994	3	33	60
92	Spectrogram 1	1	272.9085714	275.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	33	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9987	3	36	60
93	Spectrogram 1	1	275.9085714	278.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	36	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9936	3	39	60
94	Spectrogram 1	1	278.9085714	281.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	39	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9974	3	42	60
95	Spectrogram 1	1	281.9085714	284.9085714	0	15000	E:\Pedido Marcelo\sylvatica\Audios\BLESTCANTARO_20230101_040000.wav	42	BLESTCANTARO_20230101_040000.wav	Hylorina sylvatica	Hylorina sylvatica	0.9971	3	45	60
