filename,sample_index,start_time,end_time,Hylorina sylvatica_confidence,Hylorina sylvatica_annotation
BLESTCANTARO_20230101_040000,0,0,3,0.9992,1
BLESTCANTARO_20230101_040000,1,3,6,0.9977,1
BLESTCANTARO_20230101_040000,2,6,9,0.9954,1
BLESTCANTARO_20230101_040000,3,9,12,0.9992,1
BLESTCANTARO_20230101_040000,4,12,15,0.9997,1
BLESTCANTARO_20230101_040000,5,15,18,0.9982,1
BLESTCANTARO_20230101_040000,6,18,21,0.999,1
BLESTCANTARO_20230101_040000,7,21,24,0.9989,1
BLESTCANTARO_20230101_040000,8,24,27,0.9965,1
BLESTCANTARO_20230101_040000,9,27,30,0.9992,1
BLESTCANTARO_20230101_040000,10,30,33,0.9994,1
BLESTCANTARO_20230101_040000,11,33,36,0.9987,1
BLESTCANTARO_20230101_040000,12,36,39,0.9936,1
BLESTCANTARO_20230101_040000,13,39,42,0.9974,1
BLESTCANTARO_20230101_040000,14,42,45,0.9971,1
BLESTCANTARO_20230101_040000,15,45,48,0.9984,1
BLESTCANTARO_20230101_040000,16,48,51,0.9984,1
BLESTCANTARO_20230101_040000,17,51,54,0.9855,1
BLESTCANTARO_20230101_040000,18,54,57,0.9985,1
BLESTCANTARO_20230101_040000,19,57,60,0.997,1
BLESTCANTARO_20230101_220000,0,0,3,0.9959,1
BLESTCANTARO_20230101_220000,1,3,6,0.9807,1
BLESTCANTARO_20230101_220000,2,6,9,0.997,1
BLESTCANTARO_20230101_220000,3,9,12,0.9984,1
BLESTCANTARO_20230101_220000,4,12,15,0.9991,1
BLESTCANTARO_20230101_220000,5,15,18,0.9996,1
BLESTCANTARO_20230101_220000,6,18,21,0.0,1
BLESTCANTARO_20230101_220000,7,21,24,0.9869,1
BLESTCANTARO_20230101_220000,8,24,27,0.9836,1
BLESTCANTARO_20230101_220000,9,27,30,0.9684,1
BLESTCANTARO_20230101_220000,10,30,33,0.9958,1
BLESTCANTARO_20230101_220000,11,33,36,0.9953,1
BLESTCANTARO_20230101_220000,12,36,39,0.996,1
BLESTCANTARO_20230101_220000,13,39,42,0.9996,1
BLESTCANTARO_20230101_220000,14,42,45,0.999,1
BLESTCANTARO_20230101_220000,15,45,48,0.9992,1
BLESTCANTARO_20230101_220000,16,48,51,0.9997,1
BLESTCANTARO_20230101_220000,17,51,54,0.9992,1
BLESTCANTARO_20230101_220000,18,54,57,0.9991,1
BLESTCANTARO_20230101_220000,19,57,60,0.9949,1
BLESTCANTARO_20230101_060000,0,0,3,0.0,0
BLESTCANTARO_20230101_060000,1,3,6,0.0,0
BLESTCANTARO_20230101_060000,2,6,9,0.7659,1
BLESTCANTARO_20230101_060000,3,9,12,0.0,0
BLESTCANTARO_20230101_060000,4,12,15,0.0,0
BLESTCANTARO_20230101_060000,5,15,18,0.0,0
