Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Delta Time (s)	Common Name	Duration	Corrected_End_Time
1	Spectrogram 1	1	0.083266184	5.592711996	446.000	1891.000	BLESTCANTARO_20230101_000000.wav	0.0833	5.5094	Hylorina sylvatica	60	5.5927
2	Spectrogram 1	1	7.299668759	8.826215457	624.400	1998.100	BLESTCANTARO_20230101_000000.wav	7.2997	1.5265	Hylorina sylvatica	60	8.8262
3	Spectrogram 1	1	10.408272950	17.638552970	802.800	2033.700	BLESTCANTARO_20230101_000000.wav	10.4083	7.2303	Hylorina sylvatica	60	17.6386
4	Spectrogram 1	1	18.235293410	27.436206700	285.400	2194.300	BLESTCANTARO_20230101_000000.wav	18.2353	9.2009	Hylorina sylvatica	60	27.4362
5	Spectrogram 1	1	28.046825490	39.343271060	713.600	2033.700	BLESTCANTARO_20230101_000000.wav	28.0468	11.2964	Hylorina sylvatica	60	39.3432
6	Spectrogram 1	1	39.579191850	49.238069140	570.900	2212.100	BLESTCANTARO_20230101_000000.wav	39.5792	9.6589	Hylorina sylvatica	60	49.2381
7	Spectrogram 1	1	49.751544340	56.773659150	570.900	2319.200	BLESTCANTARO_20230101_000000.wav	49.7515	7.0221	Hylorina sylvatica	60	56.7736
8	Spectrogram 1	1	57.176112370	59.840630240	624.400	2354.900	BLESTCANTARO_20230101_000000.wav	57.1761	2.6645	Hylorina sylvatica	60	59.8406
9	Spectrogram 1	1	60.548393540	65.447220670	463.800	2212.100	BLESTCANTARO_20230101_010000.wav	0.5712	4.8988	Hylorina sylvatica	60	5.47
10	Spectrogram 1	1	66.543558760	71.761572930	606.600	2337.000	BLESTCANTARO_20230101_010000.wav	6.5664	5.2180	Hylorina sylvatica	60	11.7844
11	Spectrogram 1	1	72.330558170	78.186946410	749.300	2033.700	BLESTCANTARO_20230101_010000.wav	12.3534	5.8564	Hylorina sylvatica	60	18.2098
