Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
1	Spectrogram 1	1	0	3	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	0	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9983	3	3	60
2	Spectrogram 1	1	3	6	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	3	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9996	3	6	60
3	Spectrogram 1	1	6	9	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	6	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9994	3	9	60
4	Spectrogram 1	1	9	12	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	9	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.998	3	12	60
5	Spectrogram 1	1	12	15	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	12	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.999	3	15	60
6	Spectrogram 1	1	15	18	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	15	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9983	3	18	60
7	Spectrogram 1	1	18	21	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	18	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.999	3	21	60
8	Spectrogram 1	1	21	24	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	21	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.999	3	24	60
9	Spectrogram 1	1	24	27	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	24	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9935	3	27	60
10	Spectrogram 1	1	27	30	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	27	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9986	3	30	60
11	Spectrogram 1	1	30	33	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	30	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9988	3	33	60
12	Spectrogram 1	1	33	36	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	33	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.997	3	36	60
13	Spectrogram 1	1	36	39	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	36	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9966	3	39	60
14	Spectrogram 1	1	39	42	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	39	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9878	3	42	60
15	Spectrogram 1	1	42	45	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	42	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9757	3	45	60
16	Spectrogram 1	1	45	48	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	45	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9969	3	48	60
17	Spectrogram 1	1	48	51	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	48	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9921	3	51	60
18	Spectrogram 1	1	51	54	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	51	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9992	3	54	60
19	Spectrogram 1	1	54	57	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	54	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9996	3	57	60
20	Spectrogram 1	1	57	60	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_010000.WAV	57	20231208_010000.WAV	Pleurodema thaul	Pleurodema thaul	0.9994	3	60	60
21	Spectrogram 1	1	69	72	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	9	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.7679	3	12	60
22	Spectrogram 1	1	75	78	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	15	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.3964	3	18	60
23	Spectrogram 1	1	78	81	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	18	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.9777	3	21	60
24	Spectrogram 1	1	81	84	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	21	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.6357	3	24	60
25	Spectrogram 1	1	84	87	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	24	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.8754	3	27	60
26	Spectrogram 1	1	87	90	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	27	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.7951	3	30	60
27	Spectrogram 1	1	90	93	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	30	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.7294	3	33	60
28	Spectrogram 1	1	93	96	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	33	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.5441	3	36	60
29	Spectrogram 1	1	96	99	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	36	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.6294	3	39	60
30	Spectrogram 1	1	99	102	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	39	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.6146	3	42	60
31	Spectrogram 1	1	102	105	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	42	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.8709	3	45	60
32	Spectrogram 1	1	105	108	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	45	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.7506	3	48	60
33	Spectrogram 1	1	108	111	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	48	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.2937	3	51	60
34	Spectrogram 1	1	114	117	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	54	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.2754	3	57	60
35	Spectrogram 1	1	117	120	0	15000	E:\Pedido Marcelo\thaul\Audios\20231208_200000.WAV	57	20231208_200000.WAV	Pleurodema thaul	Pleurodema thaul	0.2984	3	60	60
36	Spectrogram 1	1	120	123	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	0	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9968	3	3	60
37	Spectrogram 1	1	123	126	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	3	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9962	3	6	60
38	Spectrogram 1	1	126	129	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	6	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9952	3	9	60
39	Spectrogram 1	1	129	132	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	9	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9978	3	12	60
40	Spectrogram 1	1	132	135	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	12	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9975	3	15	60
41	Spectrogram 1	1	135	138	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	15	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9989	3	18	60
42	Spectrogram 1	1	138	141	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	18	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.999	3	21	60
43	Spectrogram 1	1	141	144	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	21	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9993	3	24	60
44	Spectrogram 1	1	144	147	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	24	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.997	3	27	60
45	Spectrogram 1	1	147	150	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	27	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.995	3	30	60
46	Spectrogram 1	1	150	153	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	30	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9984	3	33	60
47	Spectrogram 1	1	153	156	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	33	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9946	3	36	60
48	Spectrogram 1	1	156	159	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	36	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9996	3	39	60
49	Spectrogram 1	1	159	162	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	39	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.999	3	42	60
50	Spectrogram 1	1	162	165	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	42	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9985	3	45	60
51	Spectrogram 1	1	165	168	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	45	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9989	3	48	60
52	Spectrogram 1	1	168	171	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	48	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9675	3	51	60
53	Spectrogram 1	1	171	174	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	51	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9865	3	54	60
54	Spectrogram 1	1	174	177	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	54	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9986	3	57	60
55	Spectrogram 1	1	177	180	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_040000.WAV	57	20231210_040000.WAV	Pleurodema thaul	Pleurodema thaul	0.9997	3	60	60
56	Spectrogram 1	1	180	183	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	0	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.8686	3	3	60
57	Spectrogram 1	1	183	186	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	3	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.6868	3	6	60
58	Spectrogram 1	1	186	189	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	6	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.3411	3	9	60
59	Spectrogram 1	1	192	195	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	12	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.713	3	15	60
60	Spectrogram 1	1	195	198	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	15	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.454	3	18	60
61	Spectrogram 1	1	198	201	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	18	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.6297	3	21	60
62	Spectrogram 1	1	201	204	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	21	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.9969	3	24	60
63	Spectrogram 1	1	204	207	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	24	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.9692	3	27	60
64	Spectrogram 1	1	207	210	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	27	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.3322	3	30	60
65	Spectrogram 1	1	210	213	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	30	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.6776	3	33	60
66	Spectrogram 1	1	213	216	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	33	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.4087	3	36	60
67	Spectrogram 1	1	216	219	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	36	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.326	3	39	60
68	Spectrogram 1	1	219	222	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	39	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.2762	3	42	60
69	Spectrogram 1	1	222	225	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	42	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.6678	3	45	60
70	Spectrogram 1	1	225	228	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	45	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.6809	3	48	60
71	Spectrogram 1	1	231	234	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	51	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.4821	3	54	60
72	Spectrogram 1	1	234	237	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	54	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.7585	3	57	60
73	Spectrogram 1	1	237	240	0	15000	E:\Pedido Marcelo\thaul\Audios\20231210_160000.WAV	57	20231210_160000.WAV	Pleurodema thaul	Pleurodema thaul	0.525	3	60	60
74	Spectrogram 1	1	240	243	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_050000.WAV	0	20231211_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9992	3	3	60
75	Spectrogram 1	1	243	246	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_050000.WAV	3	20231211_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9981	3	6	60
76	Spectrogram 1	1	246	249	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_050000.WAV	6	20231211_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9991	3	9	60
77	Spectrogram 1	1	249	252	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_050000.WAV	9	20231211_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9992	3	12	60
78	Spectrogram 1	1	252	255	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_050000.WAV	12	20231211_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9997	3	15	60
79	Spectrogram 1	1	255	258	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_050000.WAV	15	20231211_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9988	3	18	60
