filename,sample_index,start_time,end_time,Pleurodema thaul_confidence,Pleurodema thaul_annotation
20231211_050000,0,0,3,0.9992,1
20231211_050000,1,3,6,0.9981,1
20231211_050000,2,6,9,0.9991,1
20231211_050000,3,9,12,0.9992,1
20231211_050000,4,12,15,0.9997,1
20231211_050000,5,15,18,0.9988,1
20231211_050000,6,18,21,0.9999,1
20231211_050000,7,21,24,0.9977,1
20231211_050000,8,24,27,0.9989,1
20231211_050000,9,27,30,0.9873,1
20231211_050000,10,30,33,0.9918,1
20231211_050000,11,33,36,0.9913,1
20231211_050000,12,36,39,0.9971,1
20231211_050000,13,39,42,0.9882,1
20231211_050000,14,42,45,0.9933,1
20231211_050000,15,45,48,0.5393,1
20231211_050000,16,48,51,0.8524,1
20231211_050000,17,51,54,0.9415,1
20231211_050000,18,54,57,0.9994,1
20231211_050000,19,57,60,0.9991,1
20231210_040000,0,0,3,0.9968,1
20231210_040000,1,3,6,0.9962,1
20231210_040000,2,6,9,0.9952,1
20231210_040000,3,9,12,0.9978,1
20231210_040000,4,12,15,0.9975,1
20231210_040000,5,15,18,0.9989,1
20231210_040000,6,18,21,0.999,1
20231210_040000,7,21,24,0.9993,1
20231210_040000,8,24,27,0.997,1
20231210_040000,9,27,30,0.995,1
20231210_040000,10,30,33,0.9984,1
20231210_040000,11,33,36,0.9946,1
20231210_040000,12,36,39,0.9996,1
20231210_040000,13,39,42,0.999,1
20231210_040000,14,42,45,0.9985,1
20231210_040000,15,45,48,0.9989,1
20231210_040000,16,48,51,0.9675,1
20231210_040000,17,51,54,0.9865,1
20231210_040000,18,54,57,0.9986,1
20231210_040000,19,57,60,0.9997,1
20231208_010000,0,0,3,0.9983,1
20231208_010000,1,3,6,0.9996,1
20231208_010000,2,6,9,0.9994,1
20231208_010000,3,9,12,0.998,1
20231208_010000,4,12,15,0.999,1
20231208_010000,5,15,18,0.9983,1
20231208_010000,6,18,21,0.999,1
20231208_010000,7,21,24,0.999,1
20231208_010000,8,24,27,0.9935,1
20231208_010000,9,27,30,0.9986,1
20231208_010000,10,30,33,0.9988,1
20231208_010000,11,33,36,0.997,1
20231208_010000,12,36,39,0.9966,1
20231208_010000,13,39,42,0.9878,1
20231208_010000,14,42,45,0.9757,1
20231208_010000,15,45,48,0.9969,1
20231208_010000,16,48,51,0.9921,1
20231208_010000,17,51,54,0.9992,1
20231208_010000,18,54,57,0.9996,1
20231208_010000,19,57,60,0.9994,1
20231212_050000,0,0,3,0.9505,0
