Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Common Name	Duration	Corrected_End_Time
1	Spectrogram 1	1	0.055531944	9.981866977	174.8	3223.3	20231208_010000.WAV	9.9263	0.0555	Pleurodema thaul	60	9.9818
2	Spectrogram 1	1	10.07904814	19.99150019	194.2	3242.7	20231208_010000.WAV	9.9125	10.079	Pleurodema thaul	60	19.9915
3	Spectrogram 1	1	20.08868012	30.02889814	116.5	3242.7	20231208_010000.WAV	9.9402	20.0887	Pleurodema thaul	60	30.0289
4	Spectrogram 1	1	30.12607921	40.01076528	174.8	3262.1	20231208_010000.WAV	9.8847	30.1261	Pleurodema thaul	60	40.0108
5	Spectrogram 1	1	40.08017964	49.99263168	252.4	3262.1	20231208_010000.WAV	9.9125	40.0802	Pleurodema thaul	60	49.9927
6	Spectrogram 1	1	50.06204735	59.96061641	116.5	3281.6	20231208_010000.WAV	9.8986	50.062	Pleurodema thaul	60	59.9606
7	Spectrogram 1	1	67.56849073	69.73423655	835	2563.1	20231208_200000.WAV	2.1657	7.5685	Pleurodema thaul	60	9.7342
8	Spectrogram 1	1	74.19067481	74.98200502	1262.1	2330.1	20231208_200000.WAV	0.7913	14.1907	Pleurodema thaul	60	14.982
9	Spectrogram 1	1	76.37030362	80.0770609	1009.7	2563.1	20231208_200000.WAV	3.7068	16.3703	Pleurodema thaul	60	20.0771
10	Spectrogram 1	1	85.18599902	86.24110596	970.9	2582.5	20231208_200000.WAV	1.0551	25.186	Pleurodema thaul	60	26.2411
11	Spectrogram 1	1	88.11530908	89.03158616	1087.4	2485.4	20231208_200000.WAV	0.9163	28.1153	Pleurodema thaul	60	29.0316
12	Spectrogram 1	1	115.8655786	116.6291428	932	2233	20231208_200000.WAV	0.7636	55.8656	Pleurodema thaul	60	56.6292
13	Spectrogram 1	1	120.0304748	130.4427143	815.5	2835	20231210_040000.WAV	10.4122	0.0305	Pleurodema thaul	60	10.4427
14	Spectrogram 1	1	130.4427148	140.7716564	640.8	2951.5	20231210_040000.WAV	10.3289	10.4427	Pleurodema thaul	60	20.7716
15	Spectrogram 1	1	140.8549525	149.3513399	737.9	2951.5	20231210_040000.WAV	8.4964	20.855	Pleurodema thaul	60	29.3514
16	Spectrogram 1	1	149.4068719	160.1106541	310.7	2912.6	20231210_040000.WAV	10.7038	29.4069	Pleurodema thaul	60	40.1107
17	Spectrogram 1	1	160.1939507	167.2048586	718.4	2854.4	20231210_040000.WAV	7.0109	40.194	Pleurodema thaul	60	47.2049
18	Spectrogram 1	1	167.3714549	179.9772066	1009.7	2718.4	20231210_040000.WAV	12.6058	47.3715	Pleurodema thaul	60	59.9773
19	Spectrogram 1	1	181.6488221	183.5507911	1126.2	2252.4	20231210_160000.WAV	1.902	1.6488	Pleurodema thaul	60	3.5508
20	Spectrogram 1	1	198.4472361	199.1552684	1572.8	2388.3	20231210_160000.WAV	0.708	18.4472	Pleurodema thaul	60	19.1552
21	Spectrogram 1	1	200.3769711	205.8607506	932	2563.1	20231210_160000.WAV	5.4838	20.377	Pleurodema thaul	60	25.8608
22	Spectrogram 1	1	240.0267822	249.9670002	835	2737.9	20231211_050000.WAV	9.9402	0.0268	Pleurodema thaul	60	9.967
23	Spectrogram 1	1	250.0364157	261.7675386	699	2757.3	20231211_050000.WAV	11.7311	10.0364	Pleurodema thaul	60	21.7675
24	Spectrogram 1	1	262.544986	266.6682329	873.8	2718.4	20231211_050000.WAV	4.1232	22.545	Pleurodema thaul	60	26.6682
25	Spectrogram 1	1	266.7098817	272.2214272	1145.6	2524.3	20231211_050000.WAV	5.5115	26.7099	Pleurodema thaul	60	32.2214
26	Spectrogram 1	1	272.3186074	284.3135074	1184.5	2466	20231211_050000.WAV	11.9949	32.3186	Pleurodema thaul	60	44.3135
