Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Delta Time (s)	Common Name	Species Code	Confidence	Duration	Corrected_EndTime
1	Spectrogram 1	1	3	6	0	15000	3	HUILO01_20240126_030000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.2455	60	6
2	Spectrogram 1	1	6	9	0	15000	6	HUILO01_20240126_030000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1387	60	9
3	Spectrogram 1	1	12	15	0	15000	12	HUILO01_20240126_030000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1069	60	15
4	Spectrogram 1	1	15	18	0	15000	15	HUILO01_20240126_030000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1314	60	18
5	Spectrogram 1	1	36	39	0	15000	36	HUILO01_20240126_030000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1287	60	39
6	Spectrogram 1	1	54	57	0	15000	54	HUILO01_20240126_030000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9872	60	57
7	Spectrogram 1	1	60	63	0	15000	0	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.871	60	3
8	Spectrogram 1	1	63	66	0	15000	3	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9206	60	6
9	Spectrogram 1	1	87	90	0	15000	27	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.3123	60	30
10	Spectrogram 1	1	90	93	0	15000	30	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9902	60	33
11	Spectrogram 1	1	93	96	0	15000	33	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.9299	60	36
12	Spectrogram 1	1	96	99	0	15000	36	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1081	60	39
13	Spectrogram 1	1	105	108	0	15000	45	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.2717	60	48
14	Spectrogram 1	1	108	111	0	15000	48	HUILO01_20240126_040000.wav	3	ranitadeDarwin	Rdarwinii_ranitadeDarwin	0.1164	60	51
