filename,sample_index,start_time,end_time,ranitadeDarwin_confidence,ranitadeDarwin_annotation
HUILO01_20240126_050000,0,0,3,0.4478,1
HUILO01_20240126_050000,1,3,6,0.0,0
HUILO01_20240126_050000,2,6,9,0.0,0
HUILO01_20240126_050000,3,9,12,0.9598,1
HUILO01_20240126_050000,4,12,15,0.0,0
HUILO01_20240126_050000,5,15,18,0.6029,1
HUILO01_20240126_050000,6,18,21,0.1144,0
HUILO01_20240126_050000,7,21,24,0.5944,1
HUILO01_20240126_050000,8,24,27,0.7297,1
HUILO01_20240126_050000,9,27,30,0.0,0
HUILO01_20240126_050000,10,30,33,0.0,0
HUILO01_20240126_050000,11,33,36,0.0,0
HUILO01_20240126_050000,12,36,39,0.0,0
HUILO01_20240126_050000,13,39,42,0.0,0
HUILO01_20240126_050000,14,42,45,0.0,0
HUILO01_20240126_050000,15,45,48,0.581,1
HUILO01_20240126_050000,16,48,51,0.9944,1
HUILO01_20240126_050000,17,51,54,0.1734,0
HUILO01_20240126_050000,18,54,57,0.0,0
HUILO01_20240126_050000,19,57,60,0.0,0
HUILO01_20240126_060000,0,0,3,0.0,0
HUILO01_20240126_060000,1,3,6,0.2326,0
HUILO01_20240126_060000,2,6,9,0.0,0
HUILO01_20240126_060000,3,9,12,0.0,0
HUILO01_20240126_060000,4,12,15,0.0,0
HUILO01_20240126_060000,5,15,18,0.0,0
HUILO01_20240126_060000,6,18,21,0.0,0
HUILO01_20240126_060000,7,21,24,0.2891,1
HUILO01_20240126_060000,8,24,27,0.2503,1
HUILO01_20240126_060000,9,27,30,0.0,0
HUILO01_20240126_060000,10,30,33,0.0,0
HUILO01_20240126_060000,11,33,36,0.0,0
HUILO01_20240126_060000,12,36,39,0.0,0
HUILO01_20240126_060000,13,39,42,0.1353,0
HUILO01_20240126_060000,14,42,45,0.0,0
HUILO01_20240126_060000,15,45,48,0.0,0
HUILO01_20240126_060000,16,48,51,0.1626,0
HUILO01_20240126_060000,17,51,54,0.0,0
HUILO01_20240126_060000,18,54,57,0.0,0
HUILO01_20240126_060000,19,57,60,0.0,0
HUILO01_20240126_080000,0,0,3,0.1537,1
HUILO01_20240126_080000,1,3,6,0.0,1
HUILO01_20240126_080000,2,6,9,0.0,0
HUILO01_20240126_080000,3,9,12,0.0,0
HUILO01_20240126_080000,4,12,15,0.0,1
HUILO01_20240126_080000,5,15,18,0.0,0
HUILO01_20240126_080000,6,18,21,0.0,0
HUILO01_20240126_080000,7,21,24,0.0,1
HUILO01_20240126_080000,8,24,27,0.0,0
HUILO01_20240126_080000,9,27,30,0.0,0
HUILO01_20240126_080000,10,30,33,0.1067,1
HUILO01_20240126_080000,11,33,36,0.0,1
HUILO01_20240126_080000,12,36,39,0.0,0
HUILO01_20240126_080000,13,39,42,0.0,0
HUILO01_20240126_080000,14,42,45,0.0,0
HUILO01_20240126_080000,15,45,48,0.0,0
HUILO01_20240126_080000,16,48,51,0.0,0
HUILO01_20240126_080000,17,51,54,0.1081,1
HUILO01_20240126_080000,18,54,57,0.0,1
HUILO01_20240126_080000,19,57,60,0.0,0
HUILO01_20240126_040000,0,0,3,0.871,1
HUILO01_20240126_040000,1,3,6,0.9206,1
HUILO01_20240126_040000,2,6,9,0.0,0
HUILO01_20240126_040000,3,9,12,0.0,0
HUILO01_20240126_040000,4,12,15,0.0,0
HUILO01_20240126_040000,5,15,18,0.0,0
HUILO01_20240126_040000,6,18,21,0.0,0
HUILO01_20240126_040000,7,21,24,0.0,0
HUILO01_20240126_040000,8,24,27,0.0,0
HUILO01_20240126_040000,9,27,30,0.3123,1
HUILO01_20240126_040000,10,30,33,0.9902,1
HUILO01_20240126_040000,11,33,36,0.9299,1
HUILO01_20240126_040000,12,36,39,0.1081,0
HUILO01_20240126_040000,13,39,42,0.0,0
HUILO01_20240126_040000,14,42,45,0.0,0
HUILO01_20240126_040000,15,45,48,0.2717,1
HUILO01_20240126_040000,16,48,51,0.1164,1
HUILO01_20240126_040000,17,51,54,0.6356,1
HUILO01_20240126_040000,18,54,57,0.0,0
HUILO01_20240126_040000,19,57,60,0.9753,1
HUILO01_20240126_070000,0,0,3,0.797,1
HUILO01_20240126_070000,1,3,6,0.0,0
HUILO01_20240126_070000,2,6,9,0.0,0
HUILO01_20240126_070000,3,9,12,0.0,0
HUILO01_20240126_070000,4,12,15,0.0,0
HUILO01_20240126_070000,5,15,18,0.0,0
HUILO01_20240126_070000,6,18,21,0.0,0
HUILO01_20240126_070000,7,21,24,0.0,0
HUILO01_20240126_070000,8,24,27,0.0,0
HUILO01_20240126_070000,9,27,30,0.0,0
HUILO01_20240126_070000,10,30,33,0.0,0
HUILO01_20240126_070000,11,33,36,0.0,0
HUILO01_20240126_070000,12,36,39,0.9045,1
HUILO01_20240126_070000,13,39,42,0.1575,0
HUILO01_20240126_070000,14,42,45,0.0,0
HUILO01_20240126_070000,15,45,48,0.0,0
HUILO01_20240126_070000,16,48,51,0.0,0
HUILO01_20240126_070000,17,51,54,0.0,0
HUILO01_20240126_070000,18,54,57,0.0,0
HUILO01_20240126_070000,19,57,60,0.0,0
HUILO01_20240126_110000,0,0,3,0.235,0
