Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Begin File	Delta Time (s)	Species Code	Common Name	Duration
1	Spectrogram 1	1	54.000000000	57.000000000	54.0000	HUILO01_20240126_030000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
2	Spectrogram 1	1	60.000000000	63.000000000	0.0000	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
3	Spectrogram 1	1	63.000000000	66.000000000	3.0000	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
4	Spectrogram 1	1	89.146918540	92.146918540	29.1469	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
5	Spectrogram 1	1	92.708512770	95.708512770	32.7085	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
6	Spectrogram 1	1	105.000000000	108.000000000	45.0000	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
7	Spectrogram 1	1	110.451332600	113.451332600	50.4513	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
8	Spectrogram 1	1	117.000000000	120.000000000	57.0000	HUILO01_20240126_040000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
9	Spectrogram 1	1	120.000000000	123.000000000	0.0000	HUILO01_20240126_050000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
10	Spectrogram 1	1	129.000000000	132.000000000	9.0000	HUILO01_20240126_050000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
11	Spectrogram 1	1	135.000000000	138.000000000	15.0000	HUILO01_20240126_050000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
12	Spectrogram 1	1	142.549114900	145.549114900	22.5491	HUILO01_20240126_050000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
13	Spectrogram 1	1	167.501991600	170.501991600	47.5020	HUILO01_20240126_050000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
14	Spectrogram 1	1	202.900763600	205.900763600	22.9008	HUILO01_20240126_060000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
15	Spectrogram 1	1	240.000000000	243.000000000	0.0000	HUILO01_20240126_070000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
16	Spectrogram 1	1	276.000000000	279.000000000	36.0000	HUILO01_20240126_070000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
17	Spectrogram 1	1	376.289583500	379.289583500	16.2896	HUILO01_20240126_090000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
18	Spectrogram 1	1	388.907181300	391.907181300	28.9072	HUILO01_20240126_090000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
19	Spectrogram 1	1	417.000000000	420.000000000	57.0000	HUILO01_20240126_090000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
20	Spectrogram 1	1	438.000000000	441.000000000	18.0000	HUILO01_20240126_100000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
21	Spectrogram 1	1	441.332106900	444.332106900	21.3321	HUILO01_20240126_100000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
22	Spectrogram 1	1	453.000000000	456.000000000	33.0000	HUILO01_20240126_100000.wav	3.0000	Rdarwinii_ranitadeDarwin	ranitadeDarwin	60
